FIT2004,W1 1,Mon,15 - 16',W2 1,Thu,15 - 16',W1 2,Tue,12 - 13',L1,Tue,8 - 9',L2,Wed,13 - 14',W2 2,Fri,10 - 11',,,,,,
FIT1045,W1 1,Wed,10 - 11',T 1,Fri,13 - 14',L1,Mon,13 - 14',L2,Wed,14 - 15',T 2,Thur,15 - 16',T 3,Tue,19 - 20',W1 2,Thur ,8 - 9',,,
FIT2014,W1 1,Tue,13 - 14',L1,Wed,8 - 9',L2,Thu,19 - 20',T 1,Fri,16 - 17',T 2,Tue,16 - 17',T 3,Mon,12 - 13',,,,,,
FIT1008,W1 1,Mon,11 - 12',W1 2,Wed,10 - 11',W1 3 ,Fri,17 - 18',L1,Mon,9 - 10',L2,Tue,10 - 11',,,,,,,,,
MAT1830,L1 ,Mon,10 - 11',L2,Thur,12 - 13',L3,Fri,9 - 10',W1 1,Tue,15 - 16',W1 2,Wed,14-15',W1 3,Thur,16 - 17',,,,,,
MAT1020,L1 ,Tue,'11 - 12',L2 ,Wed,13 - 14',L3,Thur,8 - 9',T 1,Mon ,11 - 12',T 2,Tue,12 - 13',T 3 ,Wed,8 - 9',T 4,Thur,17 - 18',T 5,Thur,18 - 19'
MTH1030,L1 ,Mon,11 - 12',L2 ,Tue,17 - 18',L3,Fri,10 - 11',T 1,Mon ,14 - 15',T 2,Mon,16 - 17',T 3 ,Wed,9 - 10',T 4,Thur ,10 - 11',T 5,Fri,19 - 20'
PHS1001,L1 ,Tue,17 - 18',L2,Wed,15 - 16',L3,Wed,16 - 17',T 1,Tue,14 - 15',T 2,Thur,12 - 13',W1 1,Wed,10 - 11',W1 2,Fri,14 - 15',W1 3,Fri,8 - 9'
PHS1002,W1 1,Mon,17 - 18',W1 2,Wed,9 - 10',W1 3 ,Fri,10 - 11',L1,Tue,9 - 10',L2,Tue,10 - 11',L3,Thur,11 - 12',,,,,,
FIT1047,W1 1,Mon,14 - 15',W1 2,Tue,15 - 16',W1 3 ,Mon,11 - 12',L1,Wed,13 - 14',L2,Thur,9 - 10',,,,,,,,,
